,index,envComp,geo,gRMSD,valence,type,pdb,Binding_motif,minCoLoc
0,42,CO1O6,oct,0.09637139558731049,0.4983131719270697,"Mineral,Protein","['1k1e', '1tu4', '1y6v', '2dds', '2j4j', '2yye', '3rgt', '3zr9', '4g3p', '5ero', 'Heterogenite-0014459', 'Metakirchheimerite-0005993', 'Spherocobaltite-0000104']","[187, 333, 510, 554, 602, 734, 770, 1072, 1150, 1162, 1407, 1445, 1480]","['Heterogenite-0014459', 'Metakirchheimerite-0005993', 'Spherocobaltite-0000104']"
1,107,CU1O2,trv,0.12433856622698927,0.5362776108409972,"Mineral,Protein","['3x1e', 'Dioptase-0008642', 'Frankhawthorneite-0005433', 'Joteite-0019980', 'Lithidionite-0000464', 'Litidionite-0000464', 'Nissonite-0001329', 'Papagoite-0014616', 'Radovanite-0012037', 'Stranskiite-0010699', 'Tenorite-0011639', 'Trippkeite-0015655', 'Turanite-0005935', 'Urusovite-0012367', 'Wherryite-0005365', 'Wooldridgeite-0005593']",[23],"['Dioptase-0008642', 'Frankhawthorneite-0005433', 'Joteite-0019980', 'Lithidionite-0000464', 'Litidionite-0000464', 'Nissonite-0001329', 'Papagoite-0014616', 'Radovanite-0012037', 'Stranskiite-0010699', 'Tenorite-0011639', 'Trippkeite-0015655', 'Turanite-0005935', 'Urusovite-0012367', 'Wherryite-0005365', 'Wooldridgeite-0005593']"
2,111,CU1O3,tev,0.20500406500034735,0.48860686309820356,"Mineral,Protein","['3x1e', 'Campigliaite-0000866', 'Dioptase-0008642', 'Namibite-0002512', 'Scottyite-0010169']",[1136],"['Campigliaite-0000866', 'Dioptase-0008642', 'Namibite-0002512', 'Scottyite-0010169']"
3,113,CU1O4,pyv,0.12654003695424207,0.30879643471911733,"Mineral,Protein","['2fk3', 'Clinochalcomenite-0018480', 'Duftite-0020488', 'Johannite-0015685', 'Liroconite-0010249', 'Lithidionite-0000464', 'Litidionite-0000464', 'Mottramite-0005468', 'Namibite-0002512', 'Szenicsite-0014535', 'Trippkeite-0015655', 'Turanite-0005935', 'Vesignieite-0011973', 'Wherryite-0005365']",[455],"['Clinochalcomenite-0018480', 'Duftite-0020488', 'Johannite-0015685', 'Liroconite-0010249', 'Lithidionite-0000464', 'Litidionite-0000464', 'Mottramite-0005468', 'Namibite-0002512', 'Szenicsite-0014535', 'Trippkeite-0015655', 'Turanite-0005935', 'Vesignieite-0011973', 'Wherryite-0005365']"
4,121,CU1S2,trv,0.16003825664428986,0.1305216358918989,"Mineral,Protein","['1aqs', '1fvs', '1k0v', '1kqk', '1uuy', '2b7j', '4rkm', 'Aikinite-0009395', 'Bornite-0003822', 'Briartite-0014274', 'Catamarcaite-0006132', 'Chalcopyrite-0018622', 'Chalcostibite-0003673', 'Covellite-0015657', 'Cubanite-0001533', 'Digenite-0000082', 'Emplectite-0003674', 'Krupkaite-0014750', 'Miharaite-0012478', 'Stannite-0010546', 'Sulvanite-0000146']","[76, 520, 575, 583, 644]","['Aikinite-0009395', 'Bornite-0003822', 'Briartite-0014274', 'Catamarcaite-0006132', 'Chalcopyrite-0018622', 'Chalcostibite-0003673', 'Covellite-0015657', 'Cubanite-0001533', 'Digenite-0000082', 'Emplectite-0003674', 'Krupkaite-0014750', 'Miharaite-0012478', 'Stannite-0010546', 'Sulvanite-0000146']"
5,124,CU1S3,tri,0.22634781495153283,0.19855729651664783,"Mineral,Protein","['1aqs', '5fje', 'Covellite-0015657', 'Stromeyerite-0009855']","[453, 565]","['Covellite-0015657', 'Stromeyerite-0009855']"
6,126,CU1S4,tet,0.10948275402980914,0.4622720616013886,"Mineral,Protein","['2km0', 'Aikinite-0009395', 'Bornite-0003822', 'Bournonite-0010713', 'Briartite-0014274', 'Carrollite-0013181', 'Catamarcaite-0006132', 'Chalcopyrite-0018622', 'Chalcostibite-0003673', 'Covellite-0015657', 'Cubanite-0001533', 'Cuproiridsite-0014173', 'Cuprokalininite-0018335', 'Daomanite-0019982', 'Emplectite-0003674', 'Gladite-0006075', 'Krupkaite-0014750', 'Lisiguangite-0011980', 'Miharaite-0012478', 'Seligmannite-0010715', 'Stannite-0010546', 'Sulvanite-0000146']",[603],"['Aikinite-0009395', 'Bornite-0003822', 'Bournonite-0010713', 'Briartite-0014274', 'Carrollite-0013181', 'Catamarcaite-0006132', 'Chalcopyrite-0018622', 'Chalcostibite-0003673', 'Covellite-0015657', 'Cubanite-0001533', 'Cuproiridsite-0014173', 'Cuprokalininite-0018335', 'Daomanite-0019982', 'Emplectite-0003674', 'Gladite-0006075', 'Krupkaite-0014750', 'Lisiguangite-0011980', 'Miharaite-0012478', 'Seligmannite-0010715', 'Stannite-0010546', 'Sulvanite-0000146']"
7,213,FE1O2,trv,0.10927056101330682,0.3006053097774887,"Mineral,Protein","['1n1q', '3bvf', '3nte', 'Arthurite-0014708', 'Brunogeierite-0014558', 'Butlerite-0000232', 'Corkite-0014810', 'Danalite-0005895', 'Fibroferrite-0015680', 'Guildite-0000661', 'Hentschelite-0010052', 'Hydroniumjarosite-0008878', 'Ilmenite-0000925', 'Kamiokite-0010022', 'Natrojarosite-0020119', 'Ojuelaite-0014519', 'Ominelite-0004355', 'Parabutlerite-0012131', 'Paulkellerite-0001191', 'Penobsquisite-0005500', 'Plumbojarosite-0005207', 'Pseudolaueite-0000193', 'Rodalquilarite-0009361', 'Schafarzikite-0015656', 'Schoonerite-0000562', 'Stewartite-0000432', 'Strontio-orthojoaquinite-0014113', 'Ungemachite-0001035', 'Wilhelmkleinite-0011085']","[15, 1209]","['Arthurite-0014708', 'Brunogeierite-0014558', 'Butlerite-0000232', 'Corkite-0014810', 'Danalite-0005895', 'Fibroferrite-0015680', 'Guildite-0000661', 'Hentschelite-0010052', 'Hydroniumjarosite-0008878', 'Ilmenite-0000925', 'Kamiokite-0010022', 'Natrojarosite-0020119', 'Ojuelaite-0014519', 'Ominelite-0004355', 'Parabutlerite-0012131', 'Paulkellerite-0001191', 'Penobsquisite-0005500', 'Plumbojarosite-0005207', 'Pseudolaueite-0000193', 'Rodalquilarite-0009361', 'Schafarzikite-0015656', 'Schoonerite-0000562', 'Stewartite-0000432', 'Strontio-orthojoaquinite-0014113', 'Ungemachite-0001035', 'Wilhelmkleinite-0011085']"
8,223,FE1O5,spy,0.1150651989091402,0.7082295467636823,"Mineral,Protein","['1kmp', 'Natrojarosite-0020119', 'Parabutlerite-0012131', 'Pseudolaueite-0000193', 'Ransomite-0000203', 'Schoonerite-0000562', 'Strunzite-0015670']",[1274],"['Natrojarosite-0020119', 'Parabutlerite-0012131', 'Pseudolaueite-0000193', 'Ransomite-0000203', 'Schoonerite-0000562', 'Strunzite-0015670']"
9,226,FE1O6,oct,0.15511320188201724,0.8899040307117058,"Mineral,Protein","['2ows', '3ks5', '3zwu', '4mcw', 'Amakinite-0011783', 'Anapaite-0012067', 'Arthurite-0014708', 'Bartelkeite-0019471', 'Beaverite-0014860', 'Bismutoferrite-0015576', 'Brunogeierite-0014558', 'Butlerite-0000232', 'Calderite-0018998', 'Carminite-0014520', 'Chapmanite-0015317', 'Corkite-0014810', 'Delafossite-0000018', 'Ferberite-0000231', 'Ferrocarpholite-0017757', 'Ferrotychite-0012463', 'Fibroferrite-0015680', 'Goethite-0010471', 'Goldichite-0000264', 'Guildite-0000661', 'Hedenbergite-0001861', 'Hematite-0000143', 'Hentschelite-0010052', 'Hydroniumjarosite-0008878', 'Hyttsjoite-0001799', 'Ilmenite-0000925', 'Jarosite-0014420', 'Kamiokite-0010022', 'Krausite-0001008', 'Laueite-0000140', 'Lepidocrocite-0011833', 'Magnetite-0007418', 'Mawbyite-0014531', 'Metakahlerite-0005992', 'Metasideronatrite-0005014', 'Natrojarosite-0020119', 'Nikischerite-0005826', 'Ojuelaite-0014519', 'Paulkellerite-0001191', 'Phosphophyllite-0000588', 'Phosphosiderite-0012325', 'Plumbojarosite-0005207', 'Radovanite-0012037', 'Rodalquilarite-0009361', 'Schafarzikite-0015656', 'Schoonerite-0000562', 'Schubnelite-0002221', 'Schwertmannite-0018670', 'Scorodite-0018660', 'Segelerite-0000583', 'Sewardite-0005788', 'Siderite-0000101', 'Sideronatrite-0020665', 'Stewartite-0000432', 'Stottite-0019858', 'Strengite-0012324', 'Ungemachite-0001035', 'Wilhelmkleinite-0011085', 'Wustite-0011314', 'Yavapaiite-0000295']","[178, 189, 301, 416]","['Amakinite-0011783', 'Anapaite-0012067', 'Arthurite-0014708', 'Bartelkeite-0019471', 'Beaverite-0014860', 'Bismutoferrite-0015576', 'Brunogeierite-0014558', 'Butlerite-0000232', 'Calderite-0018998', 'Carminite-0014520', 'Chapmanite-0015317', 'Corkite-0014810', 'Delafossite-0000018', 'Ferberite-0000231', 'Ferrocarpholite-0017757', 'Ferrotychite-0012463', 'Fibroferrite-0015680', 'Goethite-0010471', 'Goldichite-0000264', 'Guildite-0000661', 'Hedenbergite-0001861', 'Hematite-0000143', 'Hentschelite-0010052', 'Hydroniumjarosite-0008878', 'Hyttsjoite-0001799', 'Ilmenite-0000925', 'Jarosite-0014420', 'Kamiokite-0010022', 'Krausite-0001008', 'Laueite-0000140', 'Lepidocrocite-0011833', 'Magnetite-0007418', 'Mawbyite-0014531', 'Metakahlerite-0005992', 'Metasideronatrite-0005014', 'Natrojarosite-0020119', 'Nikischerite-0005826', 'Ojuelaite-0014519', 'Paulkellerite-0001191', 'Phosphophyllite-0000588', 'Phosphosiderite-0012325', 'Plumbojarosite-0005207', 'Radovanite-0012037', 'Rodalquilarite-0009361', 'Schafarzikite-0015656', 'Schoonerite-0000562', 'Schubnelite-0002221', 'Schwertmannite-0018670', 'Scorodite-0018660', 'Segelerite-0000583', 'Sewardite-0005788', 'Siderite-0000101', 'Sideronatrite-0020665', 'Stewartite-0000432', 'Stottite-0019858', 'Strengite-0012324', 'Ungemachite-0001035', 'Wilhelmkleinite-0011085', 'Wustite-0011314', 'Yavapaiite-0000295']"
10,233,FE1S3,tev,0.21886485646815346,0.8553094678034879,"Mineral,Protein","['1fp4', '1gt8', '1mio', '1tv7', '2vdc', '2wsc', '3j16', '3pdi', '3rf9', '4jy8', '4rap', '4uhw', 'Bornite-0003822', 'Miharaite-0012478', 'Rasvumite-0000782', 'Troilite-0009769']","[4, 7, 81, 211, 440, 541, 765]","['Bornite-0003822', 'Miharaite-0012478', 'Rasvumite-0000782', 'Troilite-0009769']"
11,239,FE1S4,tet,0.11725158898978234,0.9536935933678682,"Mineral,Protein","['1aa6', '1b0j', '1b0p', '1b25', '1b71', '1bq8', '1de0', '1dgj', '1dj7', '1djn', '1doi', '1e1d', '1ea0', '1ep3', '1f37', '1fp4', '1fqt', '1g20', '1g8j', '1gph', '1gt8', '1h0h', '1h2a', '1hlq', '1iqz', '1jq4', '1jro', '1js2', '1kea', '1kf6', '1kqf', '1krh', '1l5j', '1l5p', '1llw', '1mio', '1mjg', '1nyk', '1ogy', '1ohv', '1olt', '1pc4', '1ps9', '1q16', '1r30', '1ru3', '1siz', '1t3q', '1tv7', '1ui0', '1uli', '1uwv', '1vck', '1vm9', '1x0g', '1xer', '1yfu', '1yux', '1z01', '1zj8', '2a5h', '2abk', '2akj', '2b1x', '2b3x', '2bs2', '2ckf', '2d3y', '2e7p', '2e7z', '2fug', '2fyn', '2g36', '2gmh', '2goy', '2hr5', '2ht9', '2hu9', '2i7f', '2ivf', '2jh3', '2jim', '2pa8', '2pia', '2v4j', '2vdc', '2vpw', '2wci', '2wpn', '2wul', '2xdq', '2xsj', '2y0f', '2y5c', '2y8n', '2z1d', '2zvs', '3a04', '3aek', '3ah7', '3c8f', '3cf4', '3crv', '3d89', '3dnf', '3fwy', '3gce', '3gcf', '3gke', '3gyx', '3h31', '3hui', '3j16', '3k30', '3lxf', '3lzd', '3n5n', '3noy', '3o3m', '3p1m', '3pdi', '3ree', '3rf9', '3s2r', '3t7v', '3tbm', '3tbn', '3vr8', '3w1w', '3zgl', '3zxs', '4a15', '4aay', '4ci0', '4d4o', '4eht', '4fhc', '4g38', '4id8', '4jy8', '4k36', '4m7t', '4n58', '4n7b', '4njg', '4pkf', '4qdc', '4qup', '4r33', '4ras', '4rqo', '4rr2', '4s25', '4tpu', '4u0o', '4uhw', '4unf', '4uob', '4uq8', '4uqu', '4wcx', '4wes', '4wqm', '4xdc', '4y28', '4ylf', '4z3w', '5aa5', '5c4i', '5d6s', '5dii', '5eaw', '5ffi', 'Bornite-0003822', 'Briartite-0014274', 'Chalcopyrite-0018622', 'Cubanite-0001533', 'Djerfisherite-0006153', 'Erdite-0000785', 'Greigite-0000127', 'Lenaite-0006082', 'Miharaite-0012478', 'Picotpaulite-0011971', 'Rasvumite-0000782', 'Stannite-0010546', 'Sternbergite-0014818', 'Violarite-0001000']","[4, 7, 16, 20, 24, 34, 48, 51, 58, 59, 75, 80, 81, 99, 106, 110, 111, 124, 147, 159, 162, 166, 167, 182, 191, 211, 222, 230, 231, 233, 247, 254, 279, 326, 355, 384, 394, 435, 440, 468, 472, 478, 486, 527, 530, 696, 717, 724, 765, 768, 820, 824, 840, 846, 856, 877, 880, 905, 1079, 1096, 1114, 1115, 1149, 1220, 1237, 1238, 1262, 1278, 1298, 1415, 1457, 1502, 1509, 1554, 1582]","['Bornite-0003822', 'Briartite-0014274', 'Chalcopyrite-0018622', 'Cubanite-0001533', 'Djerfisherite-0006153', 'Erdite-0000785', 'Greigite-0000127', 'Lenaite-0006082', 'Miharaite-0012478', 'Picotpaulite-0011971', 'Rasvumite-0000782', 'Stannite-0010546', 'Sternbergite-0014818', 'Violarite-0001000']"
12,298,MN1O2,lin,0.2457641145488901,0.4552929459882578,"Mineral,Protein","['4wce', 'Schoonerite-0000562', 'Stewartite-0000432']","[1097, 1111]","['Schoonerite-0000562', 'Stewartite-0000432']"
13,299,MN1O2,trv,0.21291083965130952,0.31624398240955737,"Mineral,Protein","['1e24', '1ut5', '1w47', '2id0', '2qvw', '4a25', '4wce', '4wyl', '5a3n', 'Blythite-0008167', 'Helvine-0000973', 'Hennomartinite-0001769', 'Hyttsjoite-0001799', 'Kolicite-0000783', 'Mozartite-0001932', 'Pyrophanite-0007448', 'Roeblingite-0000963', 'Ronneburgite-0002672']","[174, 216, 368, 376, 499, 532, 628, 796, 839, 885, 928, 992, 1006, 1157, 1273, 1357, 1539, 1583]","['Blythite-0008167', 'Helvine-0000973', 'Hennomartinite-0001769', 'Hyttsjoite-0001799', 'Kolicite-0000783', 'Mozartite-0001932', 'Pyrophanite-0007448', 'Roeblingite-0000963', 'Ronneburgite-0002672']"
14,300,MN1O3,spv,0.12867456181057255,0.17261297197846429,"Mineral,Protein","['1cw3', '1d8h', '1kgz', '1r2m', '3gbr', 'Pseudolaueite-0000193', 'Varennesite-0005463']","[151, 556, 567, 1042]","['Pseudolaueite-0000193', 'Varennesite-0005463']"
15,305,MN1O4,bva,0.1861928510383193,0.747535952312663,"Mineral,Protein","['1g0i', '1h7q', '1w2c', '2ong', '2pml', '3rl3', '4dmw', '4mr0', 'Spessartine-0002781']","[5, 38, 192, 542, 629, 697, 1082, 1331]",['Spessartine-0002781']
16,307,MN1O4,pyv,0.20961642974501693,0.3659026672555994,"Mineral,Protein","['1e24', '1i19', '1imc', '2j3m', '2ong', '2v0s', '3mq3', '3pzt', '3ufx', '4lil', '4lr7', '4wce', 'Blythite-0008167', 'Fluckite-0012068', 'Hyttsjoite-0001799', 'Mozartite-0001932', 'Schoonerite-0000562', 'Shigaite-0005480', 'Varennesite-0005463']","[243, 303, 572, 618, 952, 1030, 1128, 1164, 1214, 1258, 1275, 1492]","['Blythite-0008167', 'Fluckite-0012068', 'Hyttsjoite-0001799', 'Mozartite-0001932', 'Schoonerite-0000562', 'Shigaite-0005480', 'Varennesite-0005463']"
17,308,MN1O4,spl,0.21368646368430727,0.2541465643884964,"Mineral,Protein","['2fbv', '2gvd', '5c15', 'Brandtite-0012042', 'Fairfieldite-0009374', 'Mangangordonite-0014828']","[70, 421, 1432]","['Brandtite-0012042', 'Fairfieldite-0009374', 'Mangangordonite-0014828']"
18,309,MN1O5,spy,0.11806521053804943,0.7490607394210373,"Mineral,Protein","['1dck', '1g15', '1mqw', '2fbv', '2ojw', '2yes', '3gbr', '3qn1', '3rl3', '3tc3', '4dqw', '4e19', 'Campigliaite-0000866', 'Davreuxite-0000955', 'Hyttsjoite-0001799', 'Kolicite-0000783', 'Strunzite-0015670']","[63, 67, 219, 276, 299, 388, 398, 489, 656, 662, 1377]","['Campigliaite-0000866', 'Davreuxite-0000955', 'Hyttsjoite-0001799', 'Kolicite-0000783', 'Strunzite-0015670']"
19,314,MN1O6,oct,0.13553668787550743,0.5775999263130556,"Mineral,Protein","['1a5v', '1b8a', '1cpo', '1do8', '1fa0', '1foa', '1hhs', '1i19', '1ig1', '1igv', '1itw', '1jai', '1jfz', '1jqn', '1m0d', '1m4z', '1mjh', '1mqw', '1muc', '1mvo', '1nr0', '1omz', '1ono', '1p3d', '1pey', '1qmg', '1vkm', '1w2z', '1wlj', '1yd0', '1zao', '1zp9', '2cm1', '2gui', '2hr6', '2i6q', '2ioc', '2irx', '2jlc', '2ojw', '2pal', '2phn', '2qb5', '2whx', '2x6n', '2x7j', '2yf3', '3a7j', '3au8', '3exe', '3frx', '3fxj', '3ke6', '3l24', '3l6b', '3llm', '3m0j', '3ngf', '3pyz', '3qn1', '3rep', '3tmy', '3w42', '3zt9', '4gij', '4hqn', '4ima', '4mxr', '4pca', '4qh9', '4r43', '4rcv', '4wp8', '4xkm', '4yh5', '4yzg', '5a61', '5c15', '5cou', '5er8', 'Barysilite-0009300', 'Blythite-0008167', 'Brackebuschite-0005530', 'Carpholite-0014762', 'Chalcophanite-0001204', 'Cianciulliite-0001413', 'Despujolsite-0018458', 'Fluckite-0012068', 'Gravegliaite-0011006', 'Groutellite-0003566', 'Groutite-0013941', 'Harstigite-0010962', 'Hennomartinite-0001769', 'Hodgkinsonite-0015595', 'Hyttsjoite-0001799', 'Johannsenite-0000156', 'Jouravskite-0009362', 'Kastningite-0011083', 'Kolicite-0000783', 'Langbanshyttanite-0018642', 'Laueite-0000140', 'Manganite-0013942', 'Manganosite-0008240', 'Mozartite-0001932', 'Murmanite-0012444', 'Pyrochroite-0011790', 'Pyrolusite-0011760', 'Ramsdellite-0003565', 'Retzian-0000161', 'Rhodochrosite-0009891', 'Roeblingite-0000963', 'Ronneburgite-0002672', 'Ruizite-0019985', 'Shigaite-0005480', 'Sinkankasite-0001744', 'Spiroffite-0005504', 'Stewartite-0000432', 'Trigonite-0015671', 'Tusionite-0005417', 'Varennesite-0005463']","[5, 28, 42, 61, 63, 67, 70, 93, 115, 127, 164, 177, 192, 218, 227, 255, 276, 291, 293, 303, 348, 359, 378, 391, 406, 420, 421, 422, 509, 538, 557, 576, 577, 608, 620, 640, 652, 671, 677, 772, 836, 928, 952, 957, 978, 997, 1000, 1065, 1075, 1128, 1146, 1148, 1211, 1266, 1275, 1276, 1297, 1412, 1469, 1490, 1525, 1616]","['Barysilite-0009300', 'Blythite-0008167', 'Brackebuschite-0005530', 'Carpholite-0014762', 'Chalcophanite-0001204', 'Cianciulliite-0001413', 'Despujolsite-0018458', 'Fluckite-0012068', 'Gravegliaite-0011006', 'Groutellite-0003566', 'Groutite-0013941', 'Harstigite-0010962', 'Hennomartinite-0001769', 'Hodgkinsonite-0015595', 'Hyttsjoite-0001799', 'Johannsenite-0000156', 'Jouravskite-0009362', 'Kastningite-0011083', 'Kolicite-0000783', 'Langbanshyttanite-0018642', 'Laueite-0000140', 'Manganite-0013942', 'Manganosite-0008240', 'Mozartite-0001932', 'Murmanite-0012444', 'Pyrochroite-0011790', 'Pyrolusite-0011760', 'Ramsdellite-0003565', 'Retzian-0000161', 'Rhodochrosite-0009891', 'Roeblingite-0000963', 'Ronneburgite-0002672', 'Ruizite-0019985', 'Shigaite-0005480', 'Sinkankasite-0001744', 'Spiroffite-0005504', 'Stewartite-0000432', 'Trigonite-0015671', 'Tusionite-0005417', 'Varennesite-0005463']"
20,325,MO1O2,trv,0.1471393896956216,0.7073047433744524,"Mineral,Protein","['1h9j', 'Kamiokite-0010022', 'Szenicsite-0014535', 'Tugarinovite-0011769']",[1140],"['Kamiokite-0010022', 'Szenicsite-0014535', 'Tugarinovite-0011769']"
21,328,MO1O4,tet,0.21020889081525018,1.891378392131575,"Mineral,Protein","['1h9j', '2h5y', '4hi1', 'Lindgrenite-0014795', 'Markascherite-0018649', 'Powellite-0013207', 'Szenicsite-0014535', 'Wulfenite-0014900']","[248, 505, 963]","['Lindgrenite-0014795', 'Markascherite-0018649', 'Powellite-0013207', 'Szenicsite-0014535', 'Wulfenite-0014900']"
22,329,MO1O5,tbp,0.05773502691896257,1.2413030787576953,"Mineral,Protein","['4brf', 'Deloryite-0012779']",[1384],['Deloryite-0012779']
23,330,MO1O6,oct,0.15964245765370277,1.6848691131869646,"Mineral,Protein","['3k6w', 'Iriginite-0005691', 'Kamiokite-0010022', 'Sardignaite-0017091', 'Tugarinovite-0011769']",[963],"['Iriginite-0005691', 'Kamiokite-0010022', 'Sardignaite-0017091', 'Tugarinovite-0011769']"
24,397,NI1S2,trv,0.07846442930823282,0.06892830413633512,"Mineral,Protein","['4df0', 'Heazlewoodite-0000575', 'Vaesite-0010990']",[1207],"['Heazlewoodite-0000575', 'Vaesite-0010990']"
25,399,NI1S4,pyv,0.18384776310850234,0.042426406871192854,"Mineral,Protein","['4ci0', 'Violarite-0001000']",[41],['Violarite-0001000']
26,400,NI1S4,tet,0.10999999999999999,0.07499999999999998,"Mineral,Protein","['1zvf', 'Heazlewoodite-0000575']",[24],['Heazlewoodite-0000575']
27,417,V1O4,tet,0.061808113666247395,1.4634479464735968,"Mineral,Protein","['1rxs', '1uzi', '2azd', '2hy3', '2qwm', '5bzx', 'Alvanite-0014847', 'Blossite-0001075', 'Brackebuschite-0005530', 'Descloizite-0009663', 'Dreyerite-0014769', 'Gurimite-0010708', 'Kombatite-0001661', 'Leningradite-0006144', 'Mottramite-0005468', 'Namibite-0002512', 'Pucherite-0012027', 'Pyrobelonite-0000071', 'Ronneburgite-0002672', 'Schubnelite-0002221', 'Turanite-0005935', 'Vanadinite-0014110', 'Vesignieite-0011973', 'Volborthite-0018666']","[294, 609, 715, 736, 1536]","['Alvanite-0014847', 'Blossite-0001075', 'Brackebuschite-0005530', 'Descloizite-0009663', 'Dreyerite-0014769', 'Gurimite-0010708', 'Kombatite-0001661', 'Leningradite-0006144', 'Mottramite-0005468', 'Namibite-0002512', 'Pucherite-0012027', 'Pyrobelonite-0000071', 'Ronneburgite-0002672', 'Schubnelite-0002221', 'Turanite-0005935', 'Vanadinite-0014110', 'Vesignieite-0011973', 'Volborthite-0018666']"
28,419,V1O5,tbp,0.10625441167311594,0.8927261618211935,"Mineral,Protein","['1bo6', '1lkx', '1qvi', '2d1g', '2gso', '3e81', '3zwu', '4e7s', 'Curienite-0012133']","[184, 464, 467, 750, 1058, 1434]",['Curienite-0012133']
29,429,W1O4,tet,0.03557545007756534,3.9769078996989293,"Mineral,Protein","['1atg', '1ckj', '1e3p', '1fez', '1fr3', '1j9k', '1ohd', '1u7p', '1ytw', '1z7m', '2i6m', '2ivo', '4ggk', '4rxl', 'Scheelite-0013201', 'Stolzite-0012777']","[179, 248, 340, 581, 584, 675, 749, 844, 861, 950, 1121, 1179, 1221, 1306, 1326, 1624]","['Scheelite-0013201', 'Stolzite-0012777']"
30,431,W1O6,oct,0.06112394347274344,0.63271150737415,"Mineral,Protein","['1i94', 'Ferberite-0000231', 'Raspite-0009580', 'Tungstite-0005199']","[137, 142, 801, 822, 897, 1069, 1169, 1304, 1404]","['Ferberite-0000231', 'Raspite-0009580', 'Tungstite-0005199']"
